Table 1: Suppliers,,,,,,,Table 2: Inventory,,,,,,,Table 3: Production Orders,,,,,,,Table 4: Shipments,,,,,,,Table 5: Sales,,,,,,,Table 6: Customer Feedback,,,,
Supplier_ID,Supplier_Name,Lead_Time_Days,Quality_Rating,Location,Material_Type,,Product_ID,Product_Name,Quantity_Available,Reorder_Level,Warehouse_Location,Supplier_ID,,Order_ID,Product_ID,Quantity_Ordered,Order_Date,Completion_Date,Status,,Shipment_ID,Order_ID,Shipping_Date,Delivery_Date,Shipping_Cost,Delivery_Status,,Sale_ID,Product_ID,Sale_Date,Quantity_Sold,Revenue,Region,,Feedback_ID,Product_ID,Customer_Rating,Feedback_Date,Comments
SUP006,PharmaPlus,14,4.3,Chennai,Active Ingredients,,INV006,Cough Syrup,1300,500,Mumbai,SUP006,,PO006,INV006,700,2024-01-22,2024-02-01,Completed,,SH006,PO006,2024-02-02,2024-02-04,$95,Delivered,,SA006,INV006,2024-01-27,300,"$1,700",Mumbai,,FB006,INV006,4.3,2024-01-30,"Satisfied, decent packaging."
SUP007,PackWell,9,4.5,Kolkata,Packaging,,INV007,Pain Relief Spray,700,300,Kolkata,SUP007,,PO007,INV007,300,2024-01-25,2024-02-04,Completed,,SH007,PO007,2024-02-05,2024-02-07,$115,Delivered,,SA007,INV007,2024-01-29,150,"$1,200",Kolkata,,FB007,INV007,3.9,2024-02-01,Product is good but arrived late.
SUP008,ShipFast,7,4.8,Noida,Containers,,INV008,Antacid Tablets,1200,400,Noida,SUP008,,PO008,INV008,500,2024-01-28,2024-02-07,In Progress,,SH008,PO008,2024-02-08,2024-02-10,$105,In Transit,,SA008,INV008,2024-02-01,250,"$2,100",Noida,,FB008,INV008,4.6,2024-02-03,"Highly effective, great quality."
SUP009,ChemHealth,11,4.1,Lucknow,Active Ingredients,,INV009,Multivitamin Tablets,1400,500,Lucknow,SUP009,,PO009,INV009,600,2024-01-30,2024-02-09,Scheduled,,SH009,PO009,2024-02-11,2024-02-13,$125,Scheduled,,SA009,INV009,2024-02-03,200,"$1,600",Lucknow,,FB009,INV009,3.8,2024-02-05,"Quality is fine, delivery slow."
SUP010,RawMaterialsHub,19,4.4,Ahmedabad,Raw Materials,,INV010,Calcium Tablets,900,350,Ahmedabad,SUP010,,PO010,INV010,400,2024-02-02,2024-02-12,In Progress,,SH010,PO010,2024-02-14,2024-02-16,$100,In Transit,,SA010,INV010,2024-02-05,350,"$2,500",Ahmedabad,,FB010,INV010,4.9,2024-02-07,"Excellent, will buy again."
SUP011,QuickChem,13,4.6,Indore,Active Ingredients,,INV011,Cold Relief Syrup,600,250,Indore,SUP011,,PO011,INV011,200,2024-02-04,2024-02-14,Completed,,SH011,PO011,2024-02-17,2024-02-19,$120,Delivered,,SA011,INV011,2024-02-07,180,"$1,400",Indore,,FB011,INV011,4.4,2024-02-09,"Effective product, prompt service."
SUP012,PackMakers,10,4.7,Coimbatore,Packaging,,INV012,Zinc Tablets,1100,400,Coimbatore,SUP012,,PO012,INV012,300,2024-02-06,2024-02-16,In Progress,,SH012,PO012,2024-02-20,2024-02-22,$130,In Transit,,SA012,INV012,2024-02-09,220,"$1,800",Coimbatore,,FB012,INV012,4,2024-02-11,Good value for money.
SUP013,SpeedyShip,8,4.9,Surat,Containers,,INV013,Omega 3 Capsules,800,300,Surat,SUP013,,PO013,INV013,700,2024-02-08,2024-02-18,Completed,,SH013,PO013,2024-02-23,2024-02-25,$90,Delivered,,SA013,INV013,2024-02-11,270,"$2,300",Surat,,FB013,INV013,4.7,2024-02-13,"Very satisfied, timely delivery."
SUP014,ChemSource,15,4.2,Jaipur,Active Ingredients,,INV014,Iron Tablets,1500,600,Jaipur,SUP014,,PO014,INV014,600,2024-02-10,2024-02-20,Scheduled,,SH014,PO014,2024-02-26,2024-02-28,$110,Scheduled,,SA014,INV014,2024-02-13,310,"$2,800",Jaipur,,FB014,INV014,3.6,2024-02-15,"Decent quality, packaging issue."
SUP015,EssentialMed,18,4.5,Bhopal,Raw Materials,,INV015,B Complex Capsules,750,300,Bhopal,SUP015,,PO015,INV015,400,2024-02-12,2024-02-22,In Progress,,SH015,PO015,2024-02-29,2024-03-02,$100,In Transit,,SA015,INV015,2024-02-15,150,"$1,200",Bhopal,,FB015,INV015,4.2,2024-02-17,Satisfied with product.
